STATION,NAME,DATE,PRCP,MONTH,YEAR
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-25,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-27,0.35,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-28,1.65,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-29,0.0,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-30,0.2,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-10-31,0.05,10,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-01,0.07,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-02,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-03,0.14,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-04,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-05,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-06,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-09,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-10,0.01,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-11,0.14,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-12,0.31,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-13,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-14,7.75,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-15,0.0,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-16,2.67,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-17,3.64,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-18,0.18,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-19,0.05,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-20,0.02,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-21,0.03,11,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-11-22,0.34,11,1991
